epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.4294,2.51855,9.46345,1.53869,0.00032,0.1,0.00036,0.00021,2.14051,6.90275,1.46172,0.0007,0.0007,0.0007
2,19.9658,2.18557,8.22979,1.45146,0.00056,0.175,0.00036,0.00019,1.94332,6.10518,1.23554,0.00149996,0.00149996,0.00149996
3,26.0731,2.10981,6.62092,1.23599,0.00143,0.45,0.00138,0.00065,1.87268,5.93643,1.11402,0.00229975,0.00229975,0.00229975
4,31.5775,2.06038,6.02372,1.19646,0.00127,0.4,0.0039,0.00093,1.89225,6.1478,1.23568,0.00309924,0.00309924,0.00309924
5,37.8088,1.9675,5.20672,1.13017,0.00167,0.525,0.01121,0.00297,2.27426,6.68011,1.25658,0.00389831,0.00389831,0.00389831
6,43.2516,2.04654,4.63029,1.19894,0.00103,0.325,0.00111,0.00053,2.30414,6.86996,1.38026,0.00469681,0.00469681,0.00469681
7,49.337,2.2238,4.77493,1.23598,0.00119,0.375,0.00709,0.00407,2.00539,6.04122,1.20561,0.00549463,0.00549463,0.00549463
8,54.8672,2.00754,3.71855,1.24204,0.00159,0.5,0.00701,0.00257,2.51572,6.15917,1.31026,0.00629163,0.00629163,0.00629163
9,60.4345,1.97308,3.43892,1.24272,0.00167,0.525,0.05601,0.02791,2.06407,4.50988,1.20102,0.00708767,0.00708767,0.00708767
10,66.1625,2.02926,3.38914,1.20618,0.00244,0.75,0.07208,0.01786,2.56089,4.16828,1.29769,0.00788265,0.00788265,0.00788265
11,71.537,2.28829,3.52825,1.22715,0.00119,0.375,0.00256,0.00105,2.5925,4.56721,1.59039,0.00867641,0.00867641,0.00867641
12,77.3718,2.24314,3.15899,1.29655,0.00048,0.15,0.02709,0.01032,2.49576,4.58233,1.81713,0.00946884,0.00946884,0.00946884
13,82.8202,2.40588,3.10845,1.41663,0.00016,0.05,0.00217,0.00149,2.69057,4.69712,2.09747,0.00996097,0.00996097,0.00996097
14,89.0362,2.28265,3.03968,1.36469,0.10724,0.05,0.02612,0.00992,2.80278,4.151,1.78502,0.0099542,0.0099542,0.0099542
15,94.4518,2.25682,2.91892,1.31613,0.14799,0.075,0.02569,0.00747,2.92293,6.91395,1.76948,0.0099469,0.0099469,0.0099469
16,100.394,2.39002,2.66381,1.39416,0.28406,0.05,0.04533,0.00921,2.88545,6.27628,2.16145,0.00993906,0.00993906,0.00993906
17,105.931,2.34236,2.71882,1.36255,0.02423,0.1,0.00421,0.00123,3.11974,13.8882,2.26357,0.00993068,0.00993068,0.00993068
18,111.279,2.33112,2.5698,1.42684,0.07882,0.1,0.0104,0.00419,3.1157,8.09043,2.29896,0.00992177,0.00992177,0.00992177
19,117.149,2.46923,2.46299,1.40351,0.13359,0.1,0.034,0.01229,3.00564,12.1931,2.2991,0.00991232,0.00991232,0.00991232
20,122.555,2.34074,2.34019,1.50755,0.0004,0.125,0.00023,7e-05,3.44082,345.875,2.6454,0.00990234,0.00990234,0.00990234
21,128.505,2.35187,2.20776,1.47114,0.02771,0.025,0.00233,0.0006,3.18408,26.7798,2.4166,0.00989183,0.00989183,0.00989183
22,133.866,2.34916,2.16167,1.43817,0.00016,0.05,9e-05,3e-05,4.13744,45.9475,3.86486,0.00988079,0.00988079,0.00988079
23,139.861,2.45101,2.20637,1.4993,0.00062,0.175,0.00039,0.00012,3.24761,5.40385,2.78405,0.00986922,0.00986922,0.00986922
24,145.219,2.31388,2.1107,1.4154,0.00043,0.075,0.00046,9e-05,3.58281,7.46044,3.03729,0.00985711,0.00985711,0.00985711
25,151.221,2.17296,2.07158,1.3365,0.00054,0.025,0.00014,5e-05,3.87844,159.232,3.51301,0.00984449,0.00984449,0.00984449
26,156.822,2.30038,2.08948,1.44823,0.00072,0.225,0.00049,0.0002,3.03952,312.436,1.97836,0.00983133,0.00983133,0.00983133
27,162.212,2.2232,2.01936,1.39033,0.06623,0.15,0.04944,0.02374,2.50732,28.2197,1.58117,0.00981765,0.00981765,0.00981765
