epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,78.2506,2.70351,9.16669,1.43038,0.0004,0.125,0.00023,0.0001,2.7983,9.60003,1.40288,0.00058,0.00058,0.00058
2,155.324,2.65766,7.92704,1.4397,0.0004,0.125,0.00023,0.0001,2.80749,9.11573,1.83837,0.00116832,0.00116832,0.00116832
3,232.74,2.81622,6.46343,1.57867,0.00079,0.25,0.00051,0.00015,2.97689,9.8709,2.53079,0.00174476,0.00174476,0.00174476
4,308.934,2.63886,5.57304,1.40205,0.00078,0.075,0.0005,0.00018,3.02317,241.111,2.71161,0.0019406,0.0019406,0.0019406
5,385.945,2.81349,5.59648,1.51428,0.37386,0.125,0.07248,0.01794,2.85747,7.81648,1.87107,0.0019208,0.0019208,0.0019208
6,462.197,2.57187,4.7262,1.48211,0.88588,0.05,0.05279,0.01702,3.13567,7.17322,2.32051,0.001901,0.001901,0.001901
7,538.414,2.78173,4.54821,1.56773,0.00016,0.05,9e-05,4e-05,3.76253,8.59676,2.68157,0.0018812,0.0018812,0.0018812
8,615.563,2.7279,4.14958,1.50006,0.0152,0.05,0.00215,0.0007,3.13782,13.7194,2.11531,0.0018614,0.0018614,0.0018614
9,716.099,2.72278,4.09988,1.51011,0.08414,0.2,0.07745,0.0218,2.93549,6.21852,1.82126,0.0018416,0.0018416,0.0018416
10,935.214,2.64864,3.77078,1.50079,0.40113,0.125,0.14782,0.05183,2.66254,4.37277,1.68338,0.0018218,0.0018218,0.0018218
11,1115.36,2.50997,3.43402,1.54981,0.30999,0.2,0.17161,0.04855,2.96058,7.02984,2.06326,0.001802,0.001802,0.001802
12,1191.62,2.40798,3.30893,1.43927,0.22343,0.3,0.16484,0.05572,2.6681,5.01011,1.74331,0.0017822,0.0017822,0.0017822
13,1268.51,2.56145,3.33153,1.41777,0.30189,0.275,0.14661,0.04903,2.59511,4.40443,1.62818,0.0017624,0.0017624,0.0017624
14,1345.98,2.23208,2.8003,1.33698,0.22055,0.175,0.10763,0.0341,2.71507,4.10597,1.66469,0.0017426,0.0017426,0.0017426
15,2323.76,2.42989,2.8488,1.46561,0.28635,0.225,0.17841,0.05156,2.68667,3.79435,1.67764,0.0017228,0.0017228,0.0017228
16,2401.59,2.41448,2.69462,1.33249,0.425,0.175,0.16413,0.03469,2.61924,3.8001,1.62702,0.001703,0.001703,0.001703
17,2479.43,2.34208,2.50152,1.41552,0.32423,0.25,0.19214,0.07305,2.32996,3.64268,1.44582,0.0016832,0.0016832,0.0016832
18,2608.92,2.27194,2.50444,1.3105,0.22267,0.425,0.234,0.0906,2.25304,3.10243,1.47799,0.0016634,0.0016634,0.0016634
19,2800.18,2.13314,2.46084,1.30201,0.29331,0.475,0.30206,0.09859,2.23615,2.83876,1.45387,0.0016436,0.0016436,0.0016436
20,2983.01,2.07586,2.29926,1.33643,0.32866,0.34282,0.27859,0.10404,2.24402,2.97806,1.4893,0.0016238,0.0016238,0.0016238
21,3138.15,2.09245,2.07506,1.30491,0.36802,0.4,0.23645,0.09593,2.35628,3.14966,1.52679,0.001604,0.001604,0.001604
22,3271.76,2.06737,2.31677,1.27638,0.49632,0.4,0.29247,0.11013,2.39086,3.31885,1.58427,0.0015842,0.0015842,0.0015842
23,3415.56,2.07965,2.15477,1.35522,0.30998,0.275,0.24938,0.1113,2.31131,2.63435,1.61408,0.0015644,0.0015644,0.0015644
24,3565.32,2.24952,2.13366,1.46255,0.51145,0.275,0.33034,0.13525,2.18413,2.47885,1.52203,0.0015446,0.0015446,0.0015446
25,3697.58,2.10736,1.96481,1.29766,0.43673,0.375,0.29585,0.13452,2.15135,2.53226,1.4385,0.0015248,0.0015248,0.0015248
26,3815.53,2.10873,2.03622,1.25081,0.2684,0.4,0.24318,0.09248,2.03516,2.75076,1.38586,0.001505,0.001505,0.001505
27,3926.55,2.02961,2.05473,1.21796,0.48981,0.3,0.28329,0.09131,2.1417,2.61177,1.4543,0.0014852,0.0014852,0.0014852
28,4040.65,2.21774,2.09702,1.36502,0.2926,0.425,0.27777,0.08894,2.36953,2.66885,1.55844,0.0014654,0.0014654,0.0014654
29,4155.84,2.10342,1.94544,1.20248,0.3268,0.48555,0.35828,0.11604,2.13088,2.1318,1.44982,0.0014456,0.0014456,0.0014456
30,4276.18,2.04092,1.80386,1.24333,0.45689,0.275,0.30179,0.12007,2.14077,2.37604,1.42825,0.0014258,0.0014258,0.0014258
31,4396.27,2.07703,1.88582,1.29914,0.23984,0.375,0.28347,0.10545,2.13269,2.47046,1.35617,0.001406,0.001406,0.001406
32,4516.92,1.97221,1.76726,1.28139,0.49859,0.4,0.33666,0.14876,2.09379,2.43999,1.4448,0.0013862,0.0013862,0.0013862
33,4637.56,2.0397,1.83999,1.29482,0.47155,0.375,0.31748,0.17197,2.05554,2.39053,1.36403,0.0013664,0.0013664,0.0013664
