epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,18.0404,2.69499,10.4457,1.48788,0.00024,0.075,0.00016,5e-05,1.87301,9.60065,1.06338,0.000655556,0.000655556,0.000655556
2,36.0442,2.28708,7.42254,1.35872,0.01296,0.175,0.06724,0.01947,2.00372,9.4021,1.21247,0.00130913,0.00130913,0.00130913
3,52.4156,2.7454,7.35801,1.5216,0.10155,0.05,0.02336,0.008,2.35377,8.60312,1.46286,0.00194951,0.00194951,0.00194951
4,69.9027,2.70899,6.06954,1.51757,0.21644,0.225,0.09546,0.02746,2.29904,8.13913,1.49142,0.0019406,0.0019406,0.0019406
5,85.5768,2.40612,5.44805,1.42692,0.27627,0.2,0.10392,0.01721,2.04278,6.12224,1.29003,0.0019208,0.0019208,0.0019208
6,101.948,2.41177,5.09223,1.3896,0.25754,0.28631,0.14664,0.05338,2.1532,6.63633,1.43453,0.001901,0.001901,0.001901
7,117.425,2.44321,4.3975,1.42178,0.36544,0.175,0.15823,0.03171,2.27141,4.99703,1.39226,0.0018812,0.0018812,0.0018812
8,134.17,2.22484,4.20936,1.36737,0.58393,0.28092,0.2762,0.08047,2.12084,3.73083,1.37037,0.0018614,0.0018614,0.0018614
9,149.462,2.37691,3.81605,1.47678,0.31736,0.275,0.19504,0.06094,2.03787,3.65865,1.35252,0.0018416,0.0018416,0.0018416
10,165.304,2.25429,3.71127,1.32163,0.27334,0.3,0.19526,0.0752,2.16568,3.87121,1.36265,0.0018218,0.0018218,0.0018218
11,180.562,2.36748,3.69767,1.37705,0.234,0.3,0.17445,0.03975,2.16036,3.62827,1.33246,0.001802,0.001802,0.001802
12,196.802,2.18406,3.55687,1.34439,0.3178,0.30287,0.21109,0.07228,1.92354,3.2014,1.3088,0.0017822,0.0017822,0.0017822
13,212.146,2.29599,3.2576,1.33493,0.31436,0.25,0.2131,0.07066,1.99141,3.08415,1.35686,0.0017624,0.0017624,0.0017624
14,228.738,2.194,2.96367,1.28303,0.4567,0.35,0.29641,0.09066,2.0584,2.84405,1.29421,0.0017426,0.0017426,0.0017426
15,243.845,2.21072,2.65232,1.3119,0.6796,0.275,0.32597,0.13081,1.96979,2.47045,1.29962,0.0017228,0.0017228,0.0017228
16,260.416,2.27529,2.7505,1.34743,0.37866,0.35,0.31159,0.10969,1.81366,2.34256,1.29478,0.001703,0.001703,0.001703
17,275.716,2.1242,2.58103,1.35104,0.31163,0.375,0.19505,0.0783,1.90368,2.57785,1.31067,0.0016832,0.0016832,0.0016832
18,293.084,2.15474,2.36914,1.25323,0.31156,0.325,0.27605,0.09268,1.90767,2.35918,1.26357,0.0016634,0.0016634,0.0016634
19,308.873,2.06688,2.38162,1.253,0.6094,0.25,0.30791,0.11919,1.86147,2.26187,1.17304,0.0016436,0.0016436,0.0016436
20,324.998,2.08006,2.34304,1.31358,0.34046,0.45,0.31218,0.09725,1.85915,2.33338,1.24174,0.0016238,0.0016238,0.0016238
21,342.713,2.11814,2.48251,1.32168,0.32504,0.4,0.3177,0.12312,1.92411,2.13875,1.31634,0.001604,0.001604,0.001604
22,360.098,1.98834,2.09737,1.24774,0.34761,0.45,0.32392,0.14491,1.83573,2.06624,1.26108,0.0015842,0.0015842,0.0015842
23,376.935,1.91879,2.08493,1.21123,0.4563,0.375,0.374,0.16268,1.81409,2.04942,1.23509,0.0015644,0.0015644,0.0015644
24,391.292,1.96168,2.02376,1.2478,0.51512,0.425,0.37108,0.16854,1.80942,2.20617,1.19444,0.0015446,0.0015446,0.0015446
25,409.078,2.04901,2.11465,1.2716,0.65007,0.37167,0.38733,0.16137,1.79157,1.96844,1.13909,0.0015248,0.0015248,0.0015248
26,424.073,2.04386,2.03213,1.23081,0.43414,0.4,0.39896,0.16486,1.82295,1.89466,1.23703,0.001505,0.001505,0.001505
27,442.79,1.97449,1.94156,1.23469,0.49382,0.4,0.37986,0.18053,1.75812,1.9046,1.22557,0.0014852,0.0014852,0.0014852
28,459.09,1.9506,1.78106,1.25811,0.43875,0.31292,0.34263,0.11987,1.95639,2.06162,1.24971,0.0014654,0.0014654,0.0014654
29,474.351,2.01175,2.04377,1.2386,0.3348,0.4,0.30999,0.10962,1.93099,1.99999,1.31828,0.0014456,0.0014456,0.0014456
30,491.387,1.975,1.8824,1.34306,0.72373,0.3,0.39847,0.15252,1.90964,1.95603,1.25004,0.0014258,0.0014258,0.0014258
31,508.026,2.01499,1.75411,1.22398,0.51749,0.45,0.42371,0.1749,1.89962,1.88741,1.24222,0.001406,0.001406,0.001406
32,525.161,1.88123,1.68229,1.24364,0.65121,0.375,0.42148,0.18898,1.71744,2.14756,1.25806,0.0013862,0.0013862,0.0013862
33,541.142,1.94406,1.70488,1.21478,0.44778,0.375,0.42386,0.18754,1.67379,1.84185,1.18955,0.0013664,0.0013664,0.0013664
34,556.713,1.76153,1.56414,1.17399,0.54612,0.45124,0.44861,0.18265,1.73882,1.8483,1.243,0.0013466,0.0013466,0.0013466
35,571.272,1.80819,1.5715,1.27203,0.58791,0.4,0.3779,0.17326,1.72009,1.64612,1.28516,0.0013268,0.0013268,0.0013268
36,590.289,1.79833,1.59063,1.25955,0.68073,0.35,0.41518,0.19686,1.80764,1.67538,1.29779,0.001307,0.001307,0.001307
37,610.906,1.828,1.6188,1.16895,0.57143,0.425,0.42081,0.18579,1.66508,1.63271,1.22809,0.0012872,0.0012872,0.0012872
38,629.362,1.8613,1.64575,1.15288,0.58477,0.49305,0.47812,0.24071,1.64354,1.42368,1.21207,0.0012674,0.0012674,0.0012674
39,647.767,1.75531,1.55385,1.12031,0.53537,0.475,0.4661,0.24516,1.55542,1.56821,1.20354,0.0012476,0.0012476,0.0012476
40,666.196,1.78178,1.51248,1.18891,0.46551,0.55,0.45552,0.20541,1.70586,1.44562,1.28537,0.0012278,0.0012278,0.0012278
41,686.223,1.78406,1.54019,1.18657,0.66537,0.475,0.47348,0.20081,1.69257,1.54006,1.19322,0.001208,0.001208,0.001208
42,704.505,1.81948,1.43925,1.15851,0.56864,0.5,0.48646,0.23114,1.67157,1.38966,1.24563,0.0011882,0.0011882,0.0011882
43,721.26,1.76126,1.58818,1.19754,0.64362,0.475,0.51053,0.23984,1.65294,1.27348,1.24279,0.0011684,0.0011684,0.0011684
44,737.4,1.73541,1.57608,1.11944,0.58888,0.475,0.48133,0.25589,1.59625,1.3307,1.21544,0.0011486,0.0011486,0.0011486
45,754.682,1.75459,1.42223,1.15795,0.49815,0.5,0.44583,0.23225,1.54206,1.34118,1.16249,0.0011288,0.0011288,0.0011288
46,769.748,1.67278,1.38981,1.14771,0.57602,0.5,0.46179,0.23232,1.60447,1.40978,1.1734,0.001109,0.001109,0.001109
47,785.529,1.69166,1.43804,1.18899,0.6298,0.525,0.53662,0.22681,1.59202,1.56975,1.1368,0.0010892,0.0010892,0.0010892
48,800.096,1.67905,1.48893,1.18163,0.5548,0.525,0.49857,0.27357,1.49459,1.31737,1.08698,0.0010694,0.0010694,0.0010694
