epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.3493,2.66577,3.34734,10.7327,1.4821,0.00032,0.1,0.00018,6e-05,0.00103,0.325,0.00071,0.00027,1.8833,2.53247,10.2768,1.17456,0.000655556,0.000655556,0.000655556
2,40.2027,2.52993,2.88015,8.03406,1.34032,0.00143,0.45,0.00184,0.00069,0.00175,0.55,0.00281,0.00119,1.87769,3.27843,9.92075,1.19182,0.00130913,0.00130913,0.00130913
3,60.4498,2.60979,2.94093,7.45218,1.38097,0.11872,0.125,0.02642,0.00706,0.11872,0.125,0.02566,0.01319,nan,nan,nan,nan,0.00194951,0.00194951,0.00194951
4,78.9788,2.43759,2.79849,7.29981,1.35319,0.16473,0.125,0.05702,0.01578,0.17536,0.15,0.05156,0.01619,nan,nan,nan,nan,0.0019406,0.0019406,0.0019406
5,98.535,2.51383,2.83473,5.99351,1.4741,0.41547,0.05,0.04835,0.01197,0.40049,0.075,0.06443,0.01709,nan,nan,nan,nan,0.0019208,0.0019208,0.0019208
6,120.382,2.42101,3.12189,5.52936,1.3759,0.16584,0.375,0.10023,0.03034,0.15595,0.2,0.06016,0.01905,2.22302,3.28977,7.80992,1.44724,0.001901,0.001901,0.001901
7,137.468,2.4851,2.84449,5.46591,1.44459,0.14828,0.175,0.07228,0.0279,0.28597,0.125,0.09784,0.03481,2.10769,2.77235,5.36528,1.2981,0.0018812,0.0018812,0.0018812
8,156.179,2.38044,2.78994,4.62212,1.31832,0.18551,0.125,0.04371,0.0171,0.15092,0.15,0.03212,0.00924,nan,nan,nan,nan,0.0018614,0.0018614,0.0018614
9,173.567,2.45027,2.6073,4.37577,1.45512,0.28729,0.15,0.09945,0.02581,0.30247,0.19529,0.12952,0.05403,nan,nan,nan,nan,0.0018416,0.0018416,0.0018416
10,191.06,2.47301,2.83726,4.77721,1.41464,0.24209,0.05,0.03915,0.01244,0.28129,0.075,0.05075,0.00699,nan,nan,nan,nan,0.0018218,0.0018218,0.0018218
11,207.571,2.44652,2.83231,4.58656,1.35626,0.1336,0.25,0.08156,0.02415,0.29516,0.25,0.12263,0.03595,nan,nan,nan,nan,0.001802,0.001802,0.001802
12,225.449,2.43435,2.91625,4.08211,1.38132,0.41538,0.225,0.21202,0.0704,0.43625,0.225,0.18425,0.05242,2.00154,2.87989,3.65039,1.32387,0.0017822,0.0017822,0.0017822
13,242.708,2.43051,2.50372,3.94518,1.29829,0.18624,0.25,0.14833,0.03919,0.22348,0.3,0.19135,0.05983,1.90283,2.39349,3.4132,1.23676,0.0017624,0.0017624,0.0017624
14,263.212,2.43797,2.70445,3.39489,1.32909,0.17027,0.15,0.13802,0.0368,0.13893,0.125,0.09193,0.03191,1.82517,2.48327,2.99249,1.18837,0.0017426,0.0017426,0.0017426
15,286.546,2.26582,2.47456,3.36507,1.29277,0.23041,0.2,0.17606,0.05433,0.32095,0.2,0.19093,0.06533,1.92624,2.25925,2.941,1.24738,0.0017228,0.0017228,0.0017228
